種類,品項,價格,標籤,
咖啡,義式濃縮,50,#咖啡#飲品,
咖啡,美式咖啡,50,#咖啡#熱門#飲品,
咖啡,卡布奇諾,65,#咖啡#飲品,
咖啡,拿鐵,70,#咖啡#熱門#飲品,
咖啡,榛果拿鐵,80,#咖啡#飲品,
咖啡,焦糖拿鐵,80,#咖啡#飲品,
咖啡,蜂蜜拿鐵,80,#咖啡#飲品,
咖啡,黑糖拿鐵,80,#咖啡#飲品,
咖啡,摩卡拿鐵,80,#咖啡#飲品,
歐蕾,榛果歐蕾,80,#歐蕾#飲品,
歐蕾,焦糖歐蕾,80,#歐蕾#飲品,
歐蕾,蜂蜜歐蕾,80,#歐蕾#飲品,
歐蕾,黑糖歐蕾,80,#歐蕾#飲品,
歐蕾,抹茶歐蕾,80,#歐蕾#飲品,
歐蕾,可可歐蕾,80,#歐蕾#飲品,
歐蕾,紅茶歐蕾,80,#歐蕾#飲品,
茶,玫瑰蜜桃茶,65,#茶#飲品,
茶,芙香蘋果茶,65,#茶#飲品,
茶,元氣勁茶,65,#茶#飲品,
茶,蜂蜜水,65,#茶#飲品,
茶,香柚茶,65,#茶#飲品,
茶,紅茶,65,#茶#飲品,
氣泡飲,玫瑰蜜桃氣泡飲,90,#氣泡飲#飲品,
氣泡飲,芙香蘋果氣泡飲,90,#氣泡飲#飲品,
氣泡飲,蜂蜜氣泡飲,90,#氣泡飲#飲品,
氣泡飲,香柚氣泡飲,90,#氣泡飲#飲品,
厚片,巧克力厚片,40,#厚片#熱門#食物,
厚片,花生厚片,40,#厚片#食物,
厚片,香蒜厚片,40,#厚片#食物,
厚片,綠茶厚片,40,#厚片#熱門#食物,
厚片,奶酥厚片,40,#厚片#食物,
厚片,巧可力加花生厚片,45,#雙拼厚片#食物,
厚片,巧可力加香蒜厚片,45,#雙拼厚片#食物,
厚片,巧可力加綠茶厚片,45,#雙拼厚片#食物,
厚片,巧可力加奶酥厚片,45,#雙拼厚片#食物,
厚片,花生加香蒜厚片,45,#雙拼厚片#食物,
厚片,花生加綠茶厚片,45,#雙拼厚片#食物,
厚片,花生加奶酥厚片,45,#雙拼厚片#食物,
厚片,香蒜加綠茶厚片,45,#雙拼厚片#食物,
厚片,香蒜加奶酥厚片,45,#雙拼厚片#食物,
